Schedule,Threads,Size,Chunk size,Time
dynamic,4,8388608,16,0.202928
dynamic,4,8388608,32,0.153565
dynamic,4,8388608,64,0.130112
guided,1,8388608,4,0.457479
guided,1,8388608,8,0.459945
guided,1,8388608,16,0.457007
guided,1,8388608,32,0.456938
guided,1,8388608,64,0.456962
guided,2,8388608,4,0.230553
guided,2,8388608,8,0.230896
guided,2,8388608,16,0.230891
guided,2,8388608,32,0.230688
guided,2,8388608,64,0.230974
guided,3,8388608,4,0.156576
guided,3,8388608,8,0.158028
guided,3,8388608,16,0.156308
guided,3,8388608,32,0.157784
guided,3,8388608,64,0.156322
guided,4,8388608,4,0.124504
guided,4,8388608,8,0.125086
guided,4,8388608,16,0.125417
guided,4,8388608,32,0.126199
guided,4,8388608,64,0.124963
runtime,1,8388608,0,0.46145
runtime,2,8388608,0,0.230823
runtime,3,8388608,0,0.159159
runtime,4,8388608,0,0.128711
